NODCCODE,Scientificname,Commonname
8847011801,Erotelis smaragdus,Emerald Sleeper
8847012100,Awaous spp.,.
8847012104,Awaous banana,River Goby
8847012200,Gobulus spp.,.
8847012201,Gobulus myersi,Paleback Goby
8847012500,Lophogobius spp.,.
8847012501,Lophogobius cyprinoides,Crested Goby
8847012600,Lythrypnus spp.,.
8847012602,Lythrypnus nesiotes,Island Goby
8847012603,Lythrypnus phorellus,Convict Goby
8847012604,Lythrypnus spilus,Bluegold Goby
8847012606,Lythrypnus elasson,Dwarf Goby
8847012700,Nes spp.,.
8847012701,Nes longus,Orange Spotted Goby
8847012900,Elacatinus spp.,Neon Gobies
8847013300,Dormitator spp.,.
8847013302,Dormitator maculatus,Fat Sleeper
8847013303,Guavina guavina,Guavina
8847013400,Gobiomorus spp.,.
8847013401,Gobiomorus dormitor,Bigmouth Sleeper
8847013600,Ctenogobius spp.,.
8847013603,Ctenogobius fasciatus,Blotchcheek Goby
8847013700,Eleotris spp.,.
8847013708,Eleotris amblyopsis,Largescaled Spinycheek Sleeper
8847013709,Eleotris perniger,Smallscaled Spinycheek Sleeper
8847014304,Ptereleotris helenae,Hovering Dartfish
8847014800,Palatogobius spp.,.
8847014801,Palatogobius paradoxus,Mauve Goby
8847040100,Varicus spp.,.
8847040102,Varicus marilynae,Orangebelly Goby
8847060000,Microdesmidae spp.,Wormfishes
8847060100,Microdesmus spp.,.
8847060102,Microdesmus lanceolatus,Lancetail Wormfish
8847060103,Microdesmus longipinnis,Pink Wormfish
8847060300,Cerdale spp.,.
8847060301,Cerdale floridana,Pugjaw Wormfish
8847070000,Eleotridae spp.,Sleepers
8847082700,Priolepis spp.,.
8847082701,Priolepis hipoliti,Rusty Goby
8849010000,Acanthuridae spp.,Surgeonfishes
8849010100,Acanthurus spp.,.
8849010101,Acanthurus bahianus,ocean surgeon
8849010102,Acanthurus chirurgus,Doctorfish
8849010103,Acanthurus coeruleus,Blue Tang
8849010199,Acanthurus tractus,Ocean Surgeon
8850010000,Gempylidae spp.,Snake Mackerels
8850010200,Gempylus spp.,.
8850010201,Gempylus serpens,Snake Mackerel
8850010300,Lepidocybium spp.,.
8850010301,Lepidocybium flavobrunneum,Escolar
8850010400,Ruvettus spp.,.
8850010401,Ruvettus pretiosus,Oilfish
8850010700,Nesiarchus spp.,.
8850010701,Nesiarchus nasutus,Black Gemfish
8850011000,Diplospinus spp.,.
8850011001,Diplospinus multistriatus,Striped Escolar
8850020000,Trichiuridae spp.,.
8850020200,Trichiurus spp.,.
8850020201,Trichiurus lepturus,Atlantic Cutlassfish
8850020500,Evoxymetopon spp.,.
8850020501,Evoxymetopon taeniatus,Channel Scabbardfish
8850030000,Scombridae spp.,.
8850030100,Euthynnus spp.,.
8850030101,Katsuwonus pelamis,Skipjack Tuna
8850030102,Euthynnus alletteratus,Little Tunny
8850030200,Sarda spp.,.
8850030202,Sarda sarda,Atlantic Bonito
8850030300,Scomber spp.,.
8850030301,Scomber colias,Chub Mackerel
8850030400,Thunnus spp.,.
8850030401,Thunnus alalunga,Albacore
8850030402,Thunnus thynnus,Bluefin Tuna
8850030403,Thunnus albacares,Yellowfin Tuna
8850030404,Thunnus atlanticus,Blackfin Tuna
8850030405,Thunnus obesus,Bigeye Tuna
8850030500,Scomberomorus spp.,.
8850030501,Scomberomorus cavalla,King Mackerel
8850030502,Scomberomorus maculatus,Spanish Mackerel
8850030503,Scomberomorus regalis,Cero
8850030600,Acanthocybium spp.,.
8850030601,Acanthocybium solandri,Wahoo
8850030700,Auxis spp.,.
8850030701,Auxis rochei,Bullet Mackerel
8850030702,Auxis thazard,Frigate Mackerel
8850031600,Katsuwonus spp.,Skipjack Tunas
8850038000,Scombridae spp. (mackerels),Scombridae spp. (mackerels)
8850039000,Scombridae spp. (tunas),Scombridae spp. (tunas)
8850040000,Xiphiidae spp.,Swordfishes
8850040100,Xiphias spp.,Swordfishes
8850040101,Xiphias gladius,Swordfish
8850050000,Luvaridae spp.,Louvars
8850050100,Luvarus spp.,.
8850050101,Luvarus imperialis,Louvar
8850060000,Istiophoridae spp.,.
8850060100,Istiophorus spp.,.
8850060101,Istiophorus platypterus,Sailfish
8850060200,Makaira spp.,.
8850060201,Makaira nigricans,Blue Marlin
8850060300,Tetrapturus spp.,.
8850060301,Kajikia albida,White Marlin
8850060304,Tetrapturus pfluegeri,Longbill Spearfish
8850060305,Tetrapturus angustirostris,Shortbill Spearfish
8850070000,Scombropidae spp.,Gnomefishes
8851010000,Centrolophidae spp.,Medusafishes
8851010100,Schedophilus spp.,.
8851010101,Schedophilus pemarco,Pemarco Blackfish
8851010200,Hyperoglyphe spp.,.
8851010201,Hyperoglyphe perciformis,Barrelfish
8851010202,Hyperoglyphe bythites,Black Driftfish
8851020000,Nomeidae spp.,Driftfishes
8851020100,Ariomma spp.,.
8851020101,Ariomma bondi,Silver-rag
8851020102,Ariomma melanum,Brown Driftfish
8851020104,Ariomma regulus,Spotted Driftfish
8851020200,Cubiceps spp.,.
8851020202,Cubiceps pauciradiatus,Bigeye Cigarfish
8851020300,Nomeus spp.,.
8851020301,Nomeus gronovii,Man-of-war Fish
8851020400,Psenes spp.,.
8851020401,Psenes cyanophrys,Freckled Driftfish
8851020402,Psenes maculatus,Silver Driftfish
8851020403,Psenes pellucidus,Bluefin Driftfish
8851030000,Stromateidae spp.,Butterfishes
8851030100,Peprilus spp.,.
8851030103,Peprilus triacanthus,Butterfish
8851030104,Peprilus burti,Gulf Butterfish
8851030106,Peprilus paru,Harvestfish
8851040000,Tetragonuridae spp.,Squaretails
8851040100,Tetragonurus spp.,.
8851040102,Tetragonurus atlanticus,Bigeye Squaretail
8851050000,Ariommatidae spp.,Ariommatids
8852010000,Anabantidae spp.,Climbing Gouramies
8852020100,Betta spp.,.
8852020101,Betta splendens,Siamese Fighting Fish
8852020400,Macropodus spp.,.
8852020401,Macropodus opercularis,Paradise Fish
8852021000,Trichopsis spp.,.
8852021003,Trichopsis vittata,Croaking Gourami
8852040000,Osphronemidae spp.,Gouramies
8854010000,Mastacembelidae spp.,Freshwater Spiny Eels
8854010100,Macrognathus spp.,.
8854010102,Macrognathus siamensis,Spotfin Spiny Eel
8855000000,Pleuronectiformes spp.,Flounders
8857020000,Scophthalmidae spp.,Turbots
8857030000,Bothidae spp.,Lefteye flounders
8857030100,Citharichthys spp.,.
8857030104,Citharichthys arctifrons,Gulf Stream Flounder
8857030105,Citharichthys arenaceus,Sand Whiff
8857030106,Citharichthys cornutus,Horned Whiff
8857030107,Citharichthys dinoceros,Spined Whiff
8857030108,Citharichthys gymnorhinus,Anglefin Whiff
8857030109,Citharichthys macrops,Spotted Whiff
8857030110,Citharichthys spilopterus,Bay Whiff
8857030200,Etropus spp.,.
8857030201,Etropus crossotus,Fringed Flounder
8857030202,Etropus microstomus,Smallmouth Flounder
8857030204,Etropus rimosus,Gray Flounder
8857030205,Etropus cyclosquamus,Shelf Flounder
8857030300,Paralichthys spp.,.
8857030301,Paralichthys dentatus,Summer Flounder
8857030302,Paralichthys albigutta,Gulf Flounder
8857030304,Paralichthys lethostigma,Southern Flounder
8857030305,Paralichthys oblongus,Fourspot Flounder
8857030306,Paralichthys squamilentus,Broad Flounder
8857030400,Scophthalmus spp.,.
8857030401,Scophthalmus aquosus,Windowpane
8857030500,Ancylopsetta spp.,.
8857030503,Ancylopsetta dilecta,Three-eye Flounder
8857030506,Ancylopsetta quadrocellata,Ocellated Flounder
8857030600,Bothus spp.,.
8857030601,Bothus lunatus,Peacock Flounder
8857030603,Bothus ocellatus,Eyed Flounder
8857030604,Bothus robinsi,Twospot Flounder
8857030700,Chascanopsetta spp.,.
8857030701,Chascanopsetta lugubris,Pelican Flounder
8857030800,Cyclopsetta spp.,.
8857030801,Cyclopsetta chittendeni,Mexican Flounder
8857030802,Cyclopsetta fimbriata,Spotfin Flounder
8857030900,Engyophrys spp.,.
8857030901,Engyophrys senta,Spiny Flounder
8857031000,Gastropsetta spp.,.
8857031001,Gastropsetta frontalis,Shrimp Flounder
8857031200,Monolene spp.,.
8857031201,Monolene antillarum,Slim Flounder
8857031204,Monolene sessilicauda,Deepwater Flounder
8857031300,Syacium spp.,.
8857031301,Syacium gunteri,Shoal Flounder
8857031302,Syacium micrurum,Channel Flounder
8857031303,Syacium papillosum,Dusky Flounder
8857031400,Trichopsetta spp.,.
8857031404,Trichopsetta ventralis,Sash Flounder
8857040000,Pleuronectidae spp.,Righteye Flounders
8857050000,Paralichthyidae spp.,Sand Flounders
8858010000,Achiridae spp.,American Soles
8858020000,Cynoglossidae spp.,Tonguefishes
8858020100,Symphurus spp.,Tonguefishes
8858020101,Symphurus plagiusa,Blackcheek Tonguefish
8858020102,Symphurus civitatium,Offshore Tonguefish
8858020103,Symphurus diomedeanus,Spottedfin Tonguefish
8858020104,Symphurus marginatus,Margined Tonguefish
8858020105,Symphurus minor,Largescale Tonguefish
8858020106,Symphurus parvus,Pygmy Tonguefish
8858020107,Symphurus piger,Deepwater Tonguefish
8858020110,Symphurus urospilus,Spottail Tonguefish
8858020113,Symphurus arawak,Caribbean Tonguefish
8858020114,Symphurus nebulosus,Freckled Tonguefish
8858020115,Symphurus pelicanus,Longtail Tonguefish
8858020121,Symphurus stigmosus,Blotchfin Tonguefish
8858030100,Trinectes spp.,.
8858030101,Trinectes maculatus,Hogchoker
8858030102,Trinectes inscriptus,Scrawled Sole
8858030200,Achirus spp.,.
8858030202,Achirus lineatus,Lined Sole
8858030300,Gymnachirus spp.,.
8858030301,Gymnachirus melas,Naked Sole
8858030303,Gymnachirus texae,Fringed Sole
8860010100,Hollardia spp.,.
8860010101,Hollardia hollardi,Reticulate Spikefish
8860010102,Hollardia meadi,Spotted Spikefish
8860010300,Parahollardia spp.,.
8860010301,Parahollardia lineata,Jambeau
8860020000,Balistidae spp.,Triggerfishes
8860020100,Aluterus spp.,.
8860020101,Aluterus schoepfii,Orange Filefish
8860020102,Aluterus heudelotii,Dotterel Filefish
8860020103,Aluterus monoceros,Unicorn Filefish
8860020104,Aluterus scriptus,Scrawled Filefish
8860020200,Balistes spp.,.
8860020201,Balistes capriscus,Gray Triggerfish
8860020202,Balistes vetula,Queen Triggerfish
8860020300,Stephanolepis spp.,Filefish
8860020400,Cantherhines spp.,.
8860020401,Cantherhines macrocerus,Whitespotted Filefish
8860020402,Cantherhines pullus,Orangespotted Filefish
8860020500,Canthidermis spp.,.
8860020501,Canthidermis maculata,Rough Triggerfish
8860020502,Canthidermis sufflamen,Ocean Triggerfish
8860020600,Melichthys spp.,.
8860020601,Melichthys niger,Black Durgon
8860020700,Monacanthus spp.,.
8860020701,Monacanthus ciliatus,Fringed Filefish
8860020702,Monacanthus tuckeri,Slender Filefish
8860020703,Stephanolepis hispidus,Planehead Filefish
8860020704,Stephanolepis setifer,Pygmy Filefish
8860020800,Xanthichthys spp.,.
8860020801,Xanthichthys ringens,Sargassum Triggerfish
8860030000,Ostraciidae spp.,Boxfishes
8860030100,Lactophrys spp.,Trunkfishes
8860030101,Lactophrys trigonus,Trunkfish
8860030102,Lactophrys bicaudalis,Spotted Trunkfish
8860030103,Lactophrys triqueter,Smooth Trunkfish
8860030200,Acanthostracion spp.,Cowfish
8860030201,Acanthostracion quadricornis,Scrawled Cowfish
8860030202,Acanthostracion polygonius,Honeycomb Cowfish
8860040000,Monacanthidae spp.,Filefishes
8860050000,Triacanthodidae spp.,Spikefishes
8861010000,Tetraodontidae spp.,Puffers
8861010100,Lagocephalus spp.,.
8861010101,Lagocephalus laevigatus,Smooth Puffer
8861010200,Sphoeroides spp.,.
8861010201,Sphoeroides maculatus,Northern Puffer
8861010202,Sphoeroides testudineus,Checkered Puffer
8861010205,Sphoeroides dorsalis,Marbled Puffer
8861010208,Sphoeroides nephelus,Southern Puffer
8861010209,Sphoeroides pachygaster,Blunthead Puffer
8861010210,Sphoeroides parvus,Least Puffer
8861010211,Sphoeroides spengleri,Bandtail Puffer
8861010400,Canthigaster spp.,.
8861010401,Canthigaster rostrata,Sharpnose Puffer
8861010419,Canthigaster jamestyleri,Goldface Toby
8861030000,Diodontidae spp.,Porcupinefish or Burrfish
8861030100,Chilomycterus spp.,.
8861030101,Chilomycterus schoepfii,Striped Burrfish
8861030102,Chilomycterus antennatus,Bridled Burrfish
8861030103,Chilomycterus antillarum,Web Burrfish
8861030104,Chilomycterus reticulatus,Spotfin Burrfish
8861030200,Diodon spp.,.
8861030201,Diodon hystrix,Porcupinefish
8861030202,Diodon holocanthus,Balloonfish
8861040000,Molidae spp.,Molas
8861040100,Mola spp.,Ocean Sunfish
8861040101,Mola mola,Ocean Sunfish
8861040102,Mola lanceolata,Sharptail Mola
9002000000,Testudines spp.,Turtles
9002010000,Chelydridae spp.,Snapping Turtles
9002010100,Chelydra spp.,Snapping Turtles
9002010101,Chelydra serpentina,Snapping Turtles
9.00201E+11,Chelydra serpentina serpentina,Common Snapping Turtle
9.00201E+11,Chelydra serpentina osceola,Florida Snapping Turtle
9002010200,Macrochelys spp.,Alligator Snapping Turtles
9002010201,Macrochelys temminckii,Alligator Snapping Turtle
9002020000,Kinosternidae spp.,Musk Turtles
9002020100,Sternotherus spp.,Musk Turtles
9002020101,Sternotherus odoratus,Stinkpot
9002020104,Sternotherus minor,Loggerhead Musk Turtle
9002020200,Kinosternon spp.,Mud Turtles
9.00202E+11,Kinosternon subrubrum steindachneri,Florida Mud Turtle
9002020202,Kinosternon baurii,Striped Mud Turtle
9002030000,Emydidae spp.,Sliders
9002030300,Malaclemys spp.,Terrapin
9002030301,Malaclemys terrapin,Diamondback Terrapin
9002030500,Deirochelys spp.,Chicken Turtles
9002030501,Deirochelys reticularia,Chicken Turtle
9002030700,Graptemys spp.,Map Turtles
9002030701,Graptemys barbouri,Barbour's Map Turtle
9.00203E+11,Graptemys pseudogeographica kohnii,.
9002030800,Pseudemys spp.,Cooters - Turtles
9002030802,Pseudemys suwanniensis,Suwannee Cooter
9002030803,Pseudemys peninsularis,Peninsula Cooter
9002030804,Pseudemys nelsoni,Florida Redbelly Turtle
9002030900,Trachemys spp.,Sliders
9.00203E+11,Trachemys scripta scripta,Yellow Bellied Turtle
9.00203E+11,Trachemys scripta elegans,Red-eared Turtle
9002040000,Cheloniidae spp.,Sea Turtles
9002040100,Caretta spp.,Loggerhead Sea Turtles
9002040101,Caretta caretta,Loggerhead Sea Turtle
9002040200,Chelonia spp.,Green Sea Turtles
9002040201,Chelonia mydas,Green Sea Turtle
9002040300,Eretmochelys spp.,Hawksbill Sea Turtles
9002040301,Eretmochelys imbricata,Hawksbill Sea Turtle
9002040400,Lepidochelys spp.,Ridley Sea Turtles
9002040401,Lepidochelys kempii,Kemps Ridley Sea Turtle
9002040402,Lepidochelys olivacea,Olive Ridley Sea Turtle
9002050000,Dermochelyidae spp.,Leatherback Sea Turtles
9002050100,Dermochelys spp.,Leatherback Sea Turtles
9002050101,Dermochelys coriacea,Leatherback Sea Turtle
9002060000,Trionychidae spp.,Softshell Turtles
9002060200,Apalone spp.,Softshell Turtles
9002060201,Apalone ferox,Florida Softshell
9002060203,Apalone spinifera,Spiny Softshell
9995000000,Species mix - small (video only),Species mix - small (video only)
9996000000,Species mix - medium (video only),Species mix - medium (video only)
9997000000,Species mix - large (video only),Species mix - large (video only)
9998000000,No fish,.
9999000000,Unidentified species,.
