NODCCODE,Scientificname,Commonname
8713020000,Rhinobatidae spp.,.
8713020100,Rhinobatos spp.,.
8713020101,Rhinobatos lentiginosus,Atlantic Guitarfish
8713030000,Torpedinidae spp.,Torpedo Electric Rays
8713030100,Torpedo spp.,.
8713030102,Torpedo nobiliana,Atlantic torpedo
8713030103,Torpedo andersoni,Florida Torpedo
8713030200,Benthobatis spp.,.
8713030201,Benthobatis marcida,Blind Torpedo
8713040000,Rajidae spp.,.
8713040100,Raja spp.,.
8713040113,Raja eglanteria,Clearnose Skate
8713040117,Raja ackleyi,Ocellate Skate
8713040124,Leucoraja garmani,Rosette Skate
8713040126,Leucoraja lentiginosa,Freckled Skate
8713040127,Dipturus olseni,Spreadfin Skate
8713040133,Raja texana,Roundel Skate
8713040160,Dipturus bullisi,Lozenge Skate
8713040161,Fenestraja sinusmexicanus,Gulf Skate
8713040200,Anacanthobatis spp.,.
8713040202,Anacanthobatis longirostris,Longnose Leg Skate
8713040400,Cruriraja spp.,.
8713040401,Cruriraja atlantis,Atlantic Legskate
8713040402,Cruriraja poeyi,Cuban Legskate
8713040403,Cruriraja rugosa,Rough Leg Skate
8713040500,Dactylobatus spp.,.
8713040501,Dactylobatus armatus,Skilletskate
8713040701,Anacanthobatis folirostris,Leaf-nose Leg Skate
8713050000,Dasyatidae spp.,.
8713050100,Dasyatis spp.,Whiptail Stingrays
8713050103,Dasyatis americana,Southern Stingray
8713050104,Dasyatis centroura,Roughtail Stingray
8713050105,Dasyatis sabina,Atlantic Stingray
8713050106,Dasyatis say,Bluntnose Stingray
8713050112,Pteroplatytrygon violacea,Pelagic Stingray
8713050200,Gymnura spp.,.
8713050201,Gymnura altavela,Spiny Butterfly Ray
8713050202,Gymnura micrura,Smooth Butterfly Ray
8713050300,Urobatis spp.,.
8713050301,Urobatis jamaicensis,Yellow Stingray
8713070000,Myliobatidae spp.,.
8713070100,Aetobatus spp.,.
8713070101,Aetobatus narinari,Spotted Eagle Ray
8713070200,Myliobatis spp.,.
8713070201,Myliobatis freminvillii,Bullnose Ray
8713070203,Myliobatis goodei,Southern Eagle Ray
8713070300,Rhinoptera spp.,.
8713070301,Rhinoptera bonasus,Cownose Ray
8713070302,Rhinoptera brasiliensis,Brazilian Cownose Ray
8713080000,Mobulidae spp.,.
8713080100,Manta spp.,.
8713080101,Manta birostris,Atlantic Manta
8713080200,Mobula spp.,.
8713080202,Mobula hypostoma,Devil Ray
8713120100,Narcine spp.,.
8713120101,Narcine bancroftii,Lesser Electric Ray
8713130000,Anacanthobatidae spp.,Smooth Skates
8713140000,Gymnuridae spp.,Butterfly Rays
8713154000,Narcinidae spp.,Numbfishes
8713160000,Urotrygonidae spp.,American Round Stingrays
8722222222,Unidentified baitfish,Unidentified Baitfish
8729010000,Acipenseridae spp.,.
8729010100,Acipenser spp.,.
8729010104,Acipenser brevirostrum,Shortnose Sturgeon
8729010105,Acipenser oxyrinchus,Atlantic Sturgeon
8.72901E+11,Acipenser oxyrinchus oxyrinchus,Atlantic Sturgeon
8.72901E+11,Acipenser oxyrinchus desotoi,Gulf Sturgeon
8729020000,Polyodontidae spp.,Paddlefishes
8729020100,Polyodon spp.,.
8729020101,Polyodon spathula,Paddlefish
8732010000,Lepisosteidae spp.,.
8732010100,Lepisosteus spp.,Gars
8732010101,Lepisosteus osseus,Longnose Gar
8732010102,Lepisosteus oculatus,Spotted Gar
8732010105,Lepisosteus platyrhincus,Florida Gar
8732010200,Atractosteus spp.,.
8732010201,Atractosteus spatula,Alligator Gar
8734010000,Amiidae spp.,.
8734010100,Amia spp.,.
8734010101,Amia calva,Bowfin
8737000000,Elopiformes spp.,Tarpons
8738010000,Elopidae spp.,.
8738010100,Elops spp.,.
8738010101,Elops saurus,Ladyfish
8738010199,Elops smithi,Malacho
8738020000,Megalopidae spp.,.
8738020200,Megalops spp.,.
8738020201,Megalops atlanticus,Tarpon
8739010000,Albulidae spp.,.
8739010100,Albula spp.,.
8739010101,Albula vulpes,Bonefish
8739010103,Albula conorhynchus,Lagoon Bonefish
8739010104,Albula goreensis,Channel Bonefish
8740000000,Anguilliformes spp.,Eels
8741010000,Anguillidae spp.,.
8741010100,Anguilla spp.,.
8741010101,Anguilla rostrata,American Eel
8741020100,Moringua spp.,.
8741020101,Moringua edwardsi,Spaghetti Eel
8741020200,Neoconger spp.,.
8741020201,Neoconger mucronatus,Ridged Eel
8741040000,Chlopsidae spp.,.
8741040100,Chilorhinus spp.,.
8741040101,Chilorhinus suensonii,Seagrass Eel
8741040200,Kaupichthys spp.,.
8741040201,Kaupichthys hyoproroides,False Moray
8741040202,Kaupichthys nuchalis,Collared Eel
8741040500,Chlopsis spp.,.
8741040501,Chlopsis bicolor,Bicolor Eel
8741050000,Muraenidae spp.,.
8741050100,Anarchias spp.,.
8741050107,Anarchias similis,Pygmy Moray
8741050200,Echidna spp.,.
8741050201,Echidna catenata,Chain Moray
8741050300,Enchelycore spp.,.
8741050301,Enchelycore nigricans,Viper Moray
8741050302,Enchelycore carychroa,Chestnut Moray
8741050400,Gymnothorax spp.,.
8741050401,Gymnothorax funebris,Green Moray
8741050403,Gymnothorax moringa,Spotted Moray
8741050404,Gymnothorax nigromarginatus,Blackedge Moray
8741050406,Gymnothorax polygonius,Pokygon Moray
8741050407,Gymnothorax saxicola,Ocellated Moray
8741050408,Gymnothorax vicinus,Purplemouth Moray
8741050430,Gymnothorax hubbsi,Lichen Moray
8741050436,Gymnothorax maderensis,Sharktooth Moray
8741050446,Gymnothorax kolpos,Blacktail Moray
8741050448,Gymnothorax miliaris,Goldentail Moray
8741050500,Muraena spp.,.
8741050502,Muraena retifera,Reticulate Moray
8741050504,Muraena robusta,Stout Moray
8741050700,Uropterygius spp.,.
8741050715,Uropterygius macularius,Marbled Moray
8741050901,Enchelycore anatina,Fangtooth Moray
8741080100,Hoplunnis spp.,.
8741080101,Hoplunnis diomediana,Blacktail Pikeconger
8741080102,Hoplunnis macrura,Freckled Pikeconger
8741080103,Hoplunnis tenuis,Spotted Pikeconger
8741080200,Nettenchelys spp.,.
8741080201,Nettenchelys pygmaea,Pygmy Pikeconger
8741100000,Nettastomatidae spp.,Duckbill Eels
8741100100,Facciolella spp.,.
8741100300,Saurenchelys spp.,.
8741100302,Saurenchelys cognita,Longface Eel
8741120000,Congridae spp.,.
8741120100,Conger spp.,.
8741120101,Conger oceanicus,Conger Eel
8741120102,Conger triporiceps,Manytooth Conger
8741120200,Ariosoma spp.,.
8741120201,Ariosoma balearicum,Bandtooth Conger
8741120205,Ariosoma anale,Longtrunk Conger
8741120400,Gnathophis spp.,.
8741120402,Gnathophis bathytopos,Blackgut Conger
8741120403,Gnathophis bracheatopos,Longeye Conger
8741120500,Paraconger spp.,.
8741120501,Paraconger caudilimbatus,Margintail Conger
8741120800,Uroconger spp.,.
8741120801,Uroconger syringinus,Threadtail Conger
8741120900,Xenomystax spp.,.
8741120902,Xenomystax congroides,Bristletooth Conger
8741121000,Rhynchoconger spp.,.
8741121001,Rhynchoconger flavus,Yellow Conger
8741121002,Rhynchoconger gracilior,Whiptail Conger
8741121200,Heteroconger spp.,Garden Eels
8741121202,Heteroconger longissimus,Brown Garden Eel
8741121203,Heteroconger luteolus,Yellow Garden Eel
8741121300,Bathycongrus spp.,.
8741121301,Bathycongrus bullisi,Bullish Conger
8741121302,Bathycongrus dubius,Dubious Conger
8741121303,Bathycongrus vicinalis,Neighbor Conger
8741130000,Ophichthidae spp.,.
8741130100,Ahlia spp.,.
8741130101,Ahlia egmontis,Key Worm Eel
8741130200,Bascanichthys spp.,.
8741130201,Bascanichthys scuticaris,Whip Eel
8741130203,Bascanichthys bascanium,Sooty Eel
8741130300,Callechelys spp.,.
8741130301,Callechelys muraena,Blotched Snake Eel
8741130305,Callechelys springeri,Ridgefin Eel
8741130307,Callechelys guineensis,Shorttail Snake Eel
8741130500,Gordiichthys spp.,.
8741130501,Gordiichthys irretitus,Horsehair Eel
8741130503,Gordiichthys ergodes,Irksome Eel
8741130504,Gordiichthys leibyi,String Eel
8741130600,Letharchus spp.,.
8741130601,Letharchus velifer,Sailfin Eel
8741130700,Myrichthys spp.,.
